stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000811.SZ,,,,,42271,,,,,,,
000812.SZ,,,43071,,,,,,,,,
000813.SZ,,,,42725,,,41583,,,,,
000815.SZ,,,,42480,,,,,,,,
000816.SZ,,,,,,41759,,,,,,
000818.SZ,,,,,,,,,,,,
000819.SZ,,,,,,,,,,,,
000820.SZ,,,,42664,,,,,,,,
000821.SZ,,43168,,,42182,,,,,,,
000822.SZ,,,,,,,,,,,,
000823.SZ,,,,,,41724,,,,,,39461
000825.SZ,,,,,,,,,,,,39652
000826.SZ,,,42964,,,,,,,,,39626
000828.SZ,,,,,,,,,,,,
000829.SZ,,,43081,,,,,,,,,
000830.SZ,,,,,,,,,40612,,,
000831.SZ,,,,,,,41488,,,,,
000833.SZ,,,,,42289,,,,,,,
000835.SZ,,,,42436,,,,,,,,
000836.SZ,,,,,42074,,,,,,39989,
000837.SZ,,,,,,41920,,,,,,
000838.SZ,,,,,42272,,,,,,,
000839.SZ,,,,,,,,,,,,
000848.SZ,,,,,,,,,,,,
000850.SZ,,,,,,,,,,,,
000851.SZ,,,42745,42725,,41940,,41249,,,40164,
000852.SZ,,,,,42166,,,,,,,
000856.SZ,,,,,,,,,,,,
000858.SZ,,43209,,,,,,,,,,
000859.SZ,,,,,,41758,,,,,,
000860.SZ,,,,,,41802,,,,,,
000861.SZ,,,,,,41795,,,,,,39763
000862.SZ,,,42752,,,42002,,,,,,
000863.SZ,,,,42543,,41971,,41118,,,,
000868.SZ,,43307,,,,,,,40815,,,39574
000869.SZ,,,,,,,,,,,,
000875.SZ,,,,42735,,,41638,,,,,39762
000876.SZ,,,42758,,,41884,,,40850,,,
000877.SZ,,,43082,,,,,40920,,40318,,
000878.SZ,43495,,,,,,,,40737,,,
000880.SZ,,,,,,,,,,,,
000881.SZ,,,42759,,,,,,,,,
000882.SZ,,,42908,,,41661,,,40556,,40008,
000883.SZ,,,,,42369,,,41179,,40534,,
000885.SZ,,,42788,,,41809,,,,,40046,
000886.SZ,,,,,,,,,,,,
000887.SZ,,,,42489,,,,,,,39856,
000888.SZ,,,,,,,41626,,,,,
000889.SZ,,43385,,,,41991,,41223,,,,
000890.SZ,,,,,,,,,,,,
000892.SZ,,,42745,42709,,,,,,,,
000893.SZ,,,,,42272,,41361,,,,,
000895.SZ,43733,,,,,,,41120,,,,
000897.SZ,,,,,,,,,,,,
000898.SZ,,,,,,,,,,,,
000899.SZ,,,,42398,,,,,,,,
000900.SZ,,,,,,,,,,,,
000901.SZ,,,,42734,,,,,,40308,,
000902.SZ,,,,,42142,41712,,,,,,
000903.SZ,,,43083,42724,,41969,,,,,,
000905.SZ,,,,,,,,,,,,
000906.SZ,,,,,42241,,,,,40357,,
000908.SZ,,,,,42068,42003,,,,,,
000909.SZ,,,42748,,,,,,,,,
000910.SZ,,,,,,,,,,,,
000911.SZ,,,,,42165,,,,,,,
000912.SZ,,,,,,,,,,,,
000913.SZ,,,,,,,,,,,,
000915.SZ,,,,,,,,,,,,
000917.SZ,,,,,,,41633,41162,,,,
000918.SZ,,,,,,,,,,,40105,
000919.SZ,,,,,,,,,,,,
000920.SZ,,,,,,,,,,,,
000921.SZ,,,,,,,,,,40338,,
000922.SZ,,,,,,41981,41282,,,,,
000923.SZ,,,42975,,,,,,,,,
000925.SZ,,,42921,,42089,,,,40618,,39931,
000926.SZ,,,,42391,,,,,,,,39654
000927.SZ,,,,,,,,,,,,
000928.SZ,,,,42713,,41949,,,,,,
000929.SZ,,,,,,,,,,,,
000930.SZ,,43452,,,,,,,,,,
000931.SZ,,,42781,,,,,,,,,
000932.SZ,,,,,,,,,40618,,,39465
000933.SZ,,,,,,,,41120,,,,
000935.SZ,,,,,42101,,,,40645,,,
000936.SZ,,,,,42233,,,,,,,
000937.SZ,,,,,,41837,,,,40337,,
000938.SZ,,,,42494,,,,,,,,
000939.SZ,,,,42705,42216,,,,,,,39555
000948.SZ,,,,,,,41563,,,,,39591
000949.SZ,,,,42655,,41880,,,,40317,,
000950.SZ,,,43021,,,,,,,,40064,
000951.SZ,,,,,,,,,,,,
000952.SZ,,,,,,,,,,,,
000953.SZ,,,,,,,,,,,,
000955.SZ,,,,,,,,41023,,,,
000957.SZ,,,,,42300,,,,,,,
000958.SZ,,,,42383,,41653,,,,,,
000959.SZ,,,,,,41754,,,,,,
000960.SZ,,,42978,,42290,,41410,,,,,
000961.SZ,,,,42479,,,,,,,40008,
000962.SZ,,,,,,,,,,,,
000963.SZ,,,,42404,,,,,,,,
000965.SZ,,,,,,41780,,,,,39828,
000966.SZ,,,,,,,,,,,,
000967.SZ,43467,43102,,,42314,41842,,,,,,
000968.SZ,,,42846,,,,,,,,,
000969.SZ,,,,42508,,,,,,,,
000970.SZ,,,,,,,,41044,,,,
000971.SZ,,43398,,42639,42311,,,,,,,
000972.SZ,,,,,,,,,,40295,,
000973.SZ,,,,,,,41632,,,,,
000975.SZ,,43125,,,,,41297,,,,,
000976.SZ,,,,42402,,,,,,,,
000977.SZ,,,,42396,,41710,,,,,,
000978.SZ,,,,,,,,,,40240,,
000980.SZ,,,42976,,,41646,,,,,,
000981.SZ,,,43047,,,,,,40702,,,
000982.SZ,,,,,,41716,,,40597,,,
000983.SZ,,,,,,,,,,,,
000985.SZ,,,,,,,,,,,,
000987.SZ,,43399,,42454,,,,,,,,
000988.SZ,,,43076,,,,,,40701,,,
000989.SZ,,,,,42367,,,,,,,
000990.SZ,,,,42727,,41908,,,,,39989,39598
000993.SZ,,,43067,,,,,,,,,
000995.SZ,,,,,,,,,,,,
000996.SZ,,,,,,,,,,,,
000997.SZ,,,43005,,,,,,,40364,,
000998.SZ,,43454,,42388,,41648,,,,,,
000999.SZ,,,,,,,,,,,,
001696.SZ,,,,,,,,40989,,,,
001872.SZ,43770,43458,,,,,,,,,,
001896.SZ,,,42851,,,42003,,,,40416,,
001914.SZ,43802,,,,,,,,,,,
001965.SZ,,,,,,,,,,,,
001979.SZ,,,,42382,,,,,,,,
002001.SZ,,,43089,,,,,,,40232,,
002002.SZ,,,42985,,42205,,41617,,,,,
002003.SZ,,,,42534,,,,,,,,
002004.SZ,,,,,42368,41771,41312,,40897,,,
002005.SZ,,,43041,,,41803,,41004,,40483,,
002006.SZ,,,,,,,,,40686,,,
002007.SZ,,,,,,,,,,,,39661
002008.SZ,,,,,,,,,,,,39638
002009.SZ,,,,42676,42346,,41428,,,,,
002010.SZ,,,,,42345,,,,,40364,,
002011.SZ,,,,42451,,,,,40855,,40072,
002012.SZ,,,,,,,,,40889,,,
002013.SZ,,,,42443,,,,41267,,,,
002014.SZ,,,,42473,,,,41101,,,,
002015.SZ,43630,,,,,,,,,,40053,
002016.SZ,,,,,42066,,,,,,,39504
002017.SZ,,,,,,,,,,,,
002019.SZ,,,42971,,,41911,,,,,40074,
002020.SZ,,,42968,42394,,41815,,,40854,,,
002021.SZ,,,,,,41808,,,,,,
002022.SZ,,,,,42121,,,,,,,
002023.SZ,,,,,42248,,41355,,,40253,,
002024.SZ,,,,42524,,,,41097,,,40177,39590
002025.SZ,,,,,,,,,,,,
002026.SZ,,,,42543,,41810,,,,,,
002027.SZ,,,,42474,42366,,,,,,,
002028.SZ,,,,,,,,,,,,
002029.SZ,,,,,,,,41086,,,,
002030.SZ,,,,,,,,,,,,
