stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
002021.SZ,,,,,,1.0,,,,,,
002022.SZ,,,,,1.0,,,,,,,
002023.SZ,,,,,1.0,,1.0,,,1.0,,
002024.SZ,,,,1.0,,,,1.0,,,1.0,1.0
002025.SZ,,,,,,,,,,,,
002026.SZ,,,,1.0,,1.0,,,,,,
002027.SZ,,,,1.0,1.0,,,,,,,
002028.SZ,,,,,,,,,,,,
002029.SZ,,,,,,,,1.0,,,,
002030.SZ,,,,,,,,,,,,
002031.SZ,,,,,,1.0,,,,,,
002032.SZ,,,,,,,,,,,,
002033.SZ,,,,,,1.0,,1.0,,1.0,,
002034.SZ,,,1.0,1.0,,,,,,,,
002035.SZ,,,,,,,1.0,1.0,,,,
002036.SZ,,,,,1.0,,,,,,,
002037.SZ,1.0,,,,,,,1.0,,,,
002038.SZ,,,,,,,,,,,,
002039.SZ,,,,,,,,,1.0,,,
002040.SZ,,,1.0,,,,,,,,,
002041.SZ,,,,,,,,,,,,
002042.SZ,,,1.0,,,,,,,1.0,1.0,
002043.SZ,,,,1.0,,,,,1.0,,,
002044.SZ,1.0,,1.0,,1.0,,,,,,,
002045.SZ,,1.0,,,,,,,,1.0,,
002046.SZ,,1.0,1.0,1.0,,,,,,,1.0,
002047.SZ,,,1.0,,,1.0,1.0,,,,,
002048.SZ,,,1.0,,,,,,,1.0,,
002049.SZ,,,,,,,1.0,1.0,,,,
002050.SZ,,,1.0,1.0,1.0,,,,,1.0,,1.0
002051.SZ,1.0,,,,,,,1.0,,1.0,,
002052.SZ,,,,,1.0,,,,,,1.0,
002053.SZ,1.0,,,,1.0,,,,,,,
002054.SZ,,,,,,,,,,,,
002055.SZ,,,1.0,,1.0,,,,1.0,,,
002056.SZ,,,,,,,,,,,,
002057.SZ,,,1.0,,,,,1.0,,,,
002058.SZ,,,,,,,,,,,,
002059.SZ,1.0,,,,,1.0,1.0,,,,,
002060.SZ,,,,,,,,,1.0,,,1.0
002061.SZ,,1.0,1.0,1.0,,,1.0,,,,,
002062.SZ,,,,,,,,,,,,1.0
002063.SZ,,1.0,,,,,,,,,,
002064.SZ,1.0,,,,,1.0,,,,,,
002065.SZ,,,,,1.0,1.0,,,1.0,,,1.0
002066.SZ,,,,,,,,,,,1.0,
002067.SZ,,,,,,,,,1.0,,,
002068.SZ,,,1.0,,,,,,1.0,,,
002069.SZ,,,,,,,,,1.0,,,
002071.SZ,,,,,,1.0,,,,,,
002072.SZ,,,,,,,,,,,,
002073.SZ,,,,1.0,1.0,,,,,,1.0,
002074.SZ,,,,,1.0,,,,,,,
002075.SZ,,,,,,,,,,1.0,,
002076.SZ,,1.0,,,1.0,,,,,,,
002077.SZ,,,,1.0,1.0,,,,,,,
